Textbox4,Textbox7,Textbox8,Textbox10,Textbox11,Textbox14,Textbox13,Textbox20,Textbox21,Textbox23,Textbox24,Textbox26,Textbox27,Textbox30,Textbox29,Textbox34,Textbox36,Textbox39,Textbox37
"Monday, May 22, 2017",*All Records,0,*All Records,0,0,*All Records,*All Records,0,*All Records,0,*All Records,0,0,*All Records,*All Records,0,0,*All Records

Textbox594,Textbox124,Textbox600,shipto_cust_numb1,s_shipto_name,job_numb,order_qty11,line_numb,fg_item_numb,fg_item_desc,ship_line_numb1,DATE_WANTED,onhandquantity,order_qty1,unit_cost,shipto_numb,shipto_numb1,shipto_phone,unit_cost1,DATE_SHIP1,Textbox115,Textbox117,Textbox119,Textbox268,Textbox270,Textbox272
01343,ABSOLUTE INNOVATIONS INC ,Kristel        Pressinell     ,00003,ABSOLUTE INNOVATIONS INC ,642295,     100,001,ABI0019442  ,KISER WATER TRAILER LOGO  BLK ,001,1/6/2017,0,100,$718.30,3,$21.55,97,$696.75,1/6/2017,$718.30,$21.55,$696.75,"$874,279.95","$771,364.11","$102,915.84"
01273,ALLSTATE INSURANCE       ,Karen          Barnett        ,00000,ALLSTATE INSURANCE CO.   ,642369,       2,001,PROTO       ,PROTO                         ,001,1/6/2017,1,2,$0.00,2,$0.00,0,$0.00,,$0.00,$0.00,$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642149,     110,001,22160014081 ,165 DESIGNATOR                ,001,1/15/2017,0,110,$364.98,110,$364.98,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642149,     250,004,22160014094 ,COMPETITOR DESIGNATOR         ,001,1/15/2017,0,250,$756.75,250,$756.75,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642149,     250,006,22160014097 ,ESCAPE DESIGNATOR             ,001,1/15/2017,0,250,$756.75,250,$756.75,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642149,     275,002,22160014083 ,185 DESIGNATOR                ,001,1/15/2017,0,275,$579.15,275,$579.15,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642231,     110,001,22160014081 ,165 DESIGNATOR                ,001,2/6/2017,0,110,$364.98,110,$364.98,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642231,     110,002,22160014086 ,V DESIGNATOR                  ,001,2/6/2017,0,110,$324.28,110,$324.28,0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642346,     200,001,22160014064 ,ALUMACRAFT GRAPHIC ENTRY/SM   ,001,2/12/2017,0,200,"$7,728.00",200,"$7,728.00",0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00836,ALUMACRAFT BOAT CO.      ,John           Bass           ,00000,ALUMACRAFT BOAT CO.      ,642346,     200,002,22160014065 ,ALUMACRAFT GRAPHIC HIGH END   ,001,2/12/2017,0,200,"$13,146.00",200,"$13,146.00",0,$0.00,,"$24,020.89","$24,020.89",$0.00,"$874,279.95","$771,364.11","$102,915.84"
00487,AM GENERAL CORPORATION   ,               House Account  ,00002,AM GENERAL CORP          ,631276,     125,001,AM5594295   ,US ARMY REG. NUM W/LEGEND     ,001,7/24/2014,0,125,$506.25,122,$494.10,3,$12.15,,"$1,518.75","$1,012.50",$506.25,"$874,279.95","$771,364.11","$102,915.84"
00487,AM GENERAL CORPORATION   ,               House Account  ,00002,AM GENERAL CORP          ,631276,     125,001,AM5594295   ,US ARMY REG. NUM W/LEGEND     ,001,7/24/2014,0,125,$506.25,121,$490.05,4,$16.20,7/29/2014,"$1,518.75","$1,012.50",$506.25,"$874,279.95","$771,364.11","$102,915.84"
00487,AM GENERAL CORPORATION   ,               House Account  ,00002,AM GENERAL CORP          ,631276,     125,001,AM5594295   ,US ARMY REG. NUM W/LEGEND     ,001,7/24/2014,0,125,$506.25,7,$28.35,118,$477.90,,"$1,518.75","$1,012.50",$506.25,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,001,BHS0025637  ,CHANGEABLE ACRYLIC  OPT 1     ,001,6/8/2016,0,9,"$1,040.40",9,"$1,040.40",0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/8/2016,0,9,$315.00,9,$315.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,004,BHS0025636  ,DRY ERASE 24 X 36             ,001,6/8/2016,0,9,$711.18,9,$711.18,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,005,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/8/2016,0,9,$180.00,9,$180.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,006,BHS0027652  ,CHANGEABLE VISTA FRAME        ,001,6/8/2016,0,9,"$1,121.76",9,"$1,121.76",0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639621,       9,007,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/8/2016,0,9,$108.00,9,$108.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,       9,004,BHS0025639  ,VINYL LETTERING & LOGO        ,001,6/3/2016,0,9,$957.69,9,$957.69,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01277,BEACON HEALTH SYSTEMS    ,Clarissa       Schmidt        ,00000,BEACON HEALTH SYSTEMS    ,639642,       9,005,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,6/3/2016,0,9,$675.00,9,$675.00,0,$0.00,6/27/2016,"$10,289.34","$10,289.34",$0.00,"$874,279.95","$771,364.11","$102,915.84"
